      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      1.6800   7.3800E+02       0.00092056       0.00006598
      1.6850   7.3581E+02       0.00092973       0.00006728
      1.6900   7.3363E+02       0.00093933       0.00006869
      1.6950   7.3147E+02       0.00094941       0.00007023
      1.7000   7.2932E+02       0.00096001       0.00007193
      1.7050   7.2718E+02       0.00097118       0.00007379
      1.7100   7.2505E+02       0.00098299       0.00007585
      1.7150   7.2294E+02       0.00099548       0.00007815
      1.7200   7.2084E+02       0.00100876       0.00008071
      1.7250   7.1875E+02       0.00102291       0.00008359
      1.7300   7.1667E+02       0.00103805       0.00008685
      1.7350   7.1461E+02       0.00105430       0.00009055
      1.7400   7.1255E+02       0.00107182       0.00009479
      1.7450   7.1051E+02       0.00109081       0.00009969
      1.7500   7.0848E+02       0.00111150       0.00010539
      1.7550   7.0646E+02       0.00113419       0.00011208
      1.7600   7.0446E+02       0.00115923       0.00012001
      1.7650   7.0246E+02       0.00118709       0.00012952
      1.7700   7.0048E+02       0.00121834       0.00014102
      1.7750   6.9850E+02       0.00125374       0.00015512
      1.7800   6.9654E+02       0.00129426       0.00017258
      1.7850   6.9459E+02       0.00134116       0.00019444
      1.7900   6.9265E+02       0.00139605       0.00022207
      1.7950   6.9072E+02       0.00146096       0.00025723
      1.8000   6.8880E+02       0.00153829       0.00030199
      1.8050   6.8689E+02       0.00163046       0.00035842
      1.8100   6.8500E+02       0.00173893       0.00042759
      1.8150   6.8311E+02       0.00186191       0.00050726
      1.8200   6.8123E+02       0.00199096       0.00058854
      1.8250   6.7937E+02       0.00210908       0.00065398
      1.8300   6.7751E+02       0.00219650       0.00068355
      1.8350   6.7566E+02       0.00224546       0.00066971
      1.8400   6.7383E+02       0.00226899       0.00062648
      1.8450   6.7200E+02       0.00229186       0.00058030
      1.8500   6.7018E+02       0.00233565       0.00055434
      1.8550   6.6838E+02       0.00241274       0.00056098
      1.8600   6.6658E+02       0.00252737       0.00060252
      1.8650   6.6479E+02       0.00267832       0.00067588
      1.8700   6.6302E+02       0.00286214       0.00077744
      1.8750   6.6125E+02       0.00307640       0.00090466
      1.8800   6.5949E+02       0.00331803       0.00105138
      1.8850   6.5774E+02       0.00357503       0.00120061
      1.8900   6.5600E+02       0.00382405       0.00132771
      1.8950   6.5427E+02       0.00404595       0.00142081
      1.9000   6.5255E+02       0.00424397       0.00149690
      1.9050   6.5084E+02       0.00443376       0.00158019
      1.9100   6.4913E+02       0.00461548       0.00166352
      1.9150   6.4744E+02       0.00477027       0.00171196
      1.9200   6.4575E+02       0.00489123       0.00171003
      1.9250   6.4407E+02       0.00500470       0.00168959
      1.9300   6.4241E+02       0.00514777       0.00169830
      1.9350   6.4075E+02       0.00533155       0.00174821
      1.9400   6.3909E+02       0.00553425       0.00181021
      1.9450   6.3745E+02       0.00572723       0.00185741
      1.9500   6.3582E+02       0.00589712       0.00189389
      1.9550   6.3419E+02       0.00603534       0.00192897
      1.9600   6.3257E+02       0.00612623       0.00194906
      1.9650   6.3096E+02       0.00616610       0.00194153
      1.9700   6.2936E+02       0.00617827       0.00192594
      1.9750   6.2777E+02       0.00618740       0.00193226
      1.9800   6.2618E+02       0.00618656       0.00195840
