      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.4084   3.6376E+02       0.00000000       0.00000000
      3.4134   3.6323E+02       0.00000000       0.00000000
      3.4184   3.6270E+02       0.00000000       0.00000000
      3.4234   3.6217E+02       0.00000001       0.00000001
      3.4284   3.6164E+02       0.00000002       0.00000002
      3.4334   3.6111E+02       0.00000005       0.00000006
      3.4384   3.6059E+02       0.00000013       0.00000015
      3.4434   3.6006E+02       0.00000034       0.00000038
      3.4484   3.5954E+02       0.00000084       0.00000093
      3.4534   3.5902E+02       0.00000197       0.00000221
      3.4584   3.5850E+02       0.00000447       0.00000500
      3.4634   3.5798E+02       0.00000975       0.00001090
      3.4684   3.5747E+02       0.00002040       0.00002280
      3.4734   3.5695E+02       0.00004101       0.00004585
      3.4784   3.5644E+02       0.00007924       0.00008859
      3.4834   3.5593E+02       0.00014709       0.00016445
      3.4884   3.5542E+02       0.00026233       0.00029329
      3.4934   3.5491E+02       0.00044951       0.00050257
      3.4984   3.5440E+02       0.00074006       0.00082741
      3.5034   3.5390E+02       0.00117064       0.00130881
      3.5084   3.5339E+02       0.00177912       0.00198912
      3.5134   3.5289E+02       0.00259788       0.00290452
      3.5184   3.5239E+02       0.00364470       0.00407490
      3.5234   3.5189E+02       0.00491286       0.00549274
      3.5284   3.5139E+02       0.00636260       0.00711360
      3.5334   3.5089E+02       0.00791707       0.00885155
      3.5384   3.5040E+02       0.00946506       0.01058226
      3.5434   3.4990E+02       0.01087205       0.01215532
      3.5484   3.4941E+02       0.01199854       0.01341477
      3.5534   3.4892E+02       0.01272256       0.01422425
      3.5584   3.4843E+02       0.01296134       0.01449121
      3.5634   3.4794E+02       0.01268686       0.01418434
      3.5684   3.4745E+02       0.01193129       0.01333959
      3.5734   3.4696E+02       0.01078077       0.01205327
      3.5784   3.4648E+02       0.00935926       0.01046397
      3.5834   3.4600E+02       0.00780660       0.00872805
      3.5884   3.4551E+02       0.00625621       0.00699466
      3.5934   3.4503E+02       0.00481715       0.00538574
      3.5984   3.4455E+02       0.00356368       0.00398431
      3.6034   3.4408E+02       0.00253300       0.00283198
      3.6084   3.4360E+02       0.00172982       0.00193400
      3.6134   3.4312E+02       0.00113500       0.00126897
      3.6184   3.4265E+02       0.00071552       0.00079997
      3.6234   3.4218E+02       0.00043338       0.00048454
      3.6284   3.4170E+02       0.00025221       0.00028197
      3.6334   3.4123E+02       0.00014102       0.00015766
      3.6384   3.4077E+02       0.00007575       0.00008470
      3.6434   3.4030E+02       0.00003910       0.00004372
      3.6484   3.3983E+02       0.00001939       0.00002168
      3.6534   3.3937E+02       0.00000924       0.00001033
      3.6584   3.3890E+02       0.00000423       0.00000473
      3.6634   3.3844E+02       0.00000186       0.00000208
      3.6684   3.3798E+02       0.00000079       0.00000088
      3.6734   3.3752E+02       0.00000032       0.00000036
      3.6784   3.3706E+02       0.00000012       0.00000014
      3.6834   3.3660E+02       0.00000005       0.00000005
      3.6884   3.3615E+02       0.00000002       0.00000002
      3.6934   3.3569E+02       0.00000001       0.00000001
      3.6984   3.3524E+02       0.00000000       0.00000000
      3.7034   3.3478E+02       0.00000000       0.00000000
      3.7084   3.3433E+02       0.00000000       0.00000000
      3.7134   3.3388E+02       0.00000000       0.00000000
      3.7184   3.3343E+02       0.00000000       0.00000000
      3.7234   3.3299E+02       0.00000000       0.00000000
