FINAL HEAT OF FORMATION =     -8495.1187492773  time =       0.0000000000
  6       -0.0061035739      -0.0001871829      -0.0099218136
  6       -0.0119476984      -0.0070069381       0.0060269396
  6       -0.0067846815      -0.0134225417       0.0039746391
  6       -0.0070351291       0.0385298393      -0.0179951261
 16       -0.0023228575      -0.0248388603      -0.0165658292
  1       -0.0041501083       0.0044759572      -0.0055550243
  6       -0.0223104302       0.0083258038      -0.0159526796
  6        0.0078263036      -0.0018626722       0.0076968181
  6        0.0057360949       0.0081300680       0.0194337928
  6        0.0085732674      -0.0023338702       0.0045861264
 16       -0.0041182995      -0.0138668583      -0.0144305883
  1       -0.0105259359       0.0098893044      -0.0011947426
  1        0.0116965444       0.0203286822       0.0158856943
  6        0.0055650038      -0.0016837707       0.0014400214
  1        0.0047417924      -0.0010465011       0.0023950081
  1        0.0031666941      -0.0026669698       0.0009043728
  6        0.0092194221       0.0046038349      -0.0013964367
  1        0.0047892841       0.0054352842      -0.0027170932
  1        0.0042396663       0.0062452538      -0.0021215936
  6        0.0059379681       0.0060978711      -0.0018552830
  1        0.0034514072       0.0067526475      -0.0027034837
  1        0.0040999093       0.0059719854      -0.0038134898
  6        0.0025113009      -0.0004800536       0.0000426743
  1        0.0044185895      -0.0029330365      -0.0001583404
  1        0.0050209273      -0.0008239379       0.0015654122
  6       -0.0033331971       0.0009023806      -0.0004027430
  1       -0.0029992495       0.0010681023      -0.0006348093
  6       -0.0041926991      -0.0022220156      -0.0000574003
  1       -0.0038807789      -0.0028651135      -0.0020910338
  1       -0.0016964884      -0.0006089923      -0.0000279253
  6       -0.0018188593       0.0008296843       0.0019618904
  1       -0.0001318952       0.0014025933      -0.0067862022
  1        0.0049509084       0.0019069777       0.0035434367
  6        0.0010227030      -0.0014862362      -0.0012205512
  1        0.0005619265      -0.0024744913      -0.0002387893
  1        0.0004125436       0.0005208796      -0.0006488636
  6       -0.0003970104      -0.0017425292       0.0020053368
  1       -0.0020312699       0.0020426477      -0.0007006120
  1       -0.0018106237       0.0024454193       0.0007453054
  6       -0.0001755139      -0.0017106093      -0.0000002405
  1        0.0015741484      -0.0014727921       0.0035044394
  1       -0.0012731419      -0.0044690424       0.0009536353
  6       -0.0001566843      -0.0009698548      -0.0011014230
