ngrids cutoff rel       energy 	    memory     time    grid1   	 grid2 	   grid3     grid4     grid5   	 grid6
    6    50   150 -1537.1258664425   503       57.4   2277433    299729       576         0         0         0
    6   100   150 -1538.0016391466   689       71.1   2016661    433287    127574       216         0         0
    6   150   150 -1538.0834120645   938       78.9   1850632    426801    299729       576         0         0
    6   200   150 -1538.1774885070  1255      105.2   1778005    432762    363904      3067         0         0
    6   250   150 -1538.2280319764  1440       92.9   1601141    540797    325955    109845         0         0
    6   300   150 -1538.2759790214  1715       92.9   1516410    500251    433287    127574       216         0
    6   350   150 -1538.3060905335  2013       99.0   1475652    448295    522885    130690       216         0
    6   400   150 -1538.3335005432  2346      114.9   1447457    431839    530156    167710       576         0
    6   450   150 -1538.3521906476  2725      109.9   1373885    476747    426801    299729       576         0
    6   500   150 -1538.3695170910  3037      102.4   1263660    550810    432776    329556       936         0
    6   550   150 -1538.3842001925  3491      109.3   1197419    597390    441460    338402      3067         0
    6   600   150 -1538.3980611524  3889      120.4   1154251    623754    432762    363904      3067         0
    6   650   150 -1538.4110121562  4361      125.7   1142260    620609    392521    396215     26133         0
    6   700   150 -1538.4191382850  4876      120.0   1079782    576847    490753    404223     26133         0
    6   750   150 -1538.4252992333  5019      110.8   1046411    554730    540797    325955    109845         0
    6   800   150 -1538.4355742341  5654      121.0   1018298    570040    549924    329631    109629       216
    6   850   150 -1538.4418554540  6150      110.1   1010651    553146    474685    411826    127214       216
    6   900   150 -1538.4448200262  6399      116.5    992924    523486    500251    433287    127574       216
    6   950   150 -1538.4523600202  7060      128.4    982625    521451    512225    433287    127934       216
    6  1000   150 -1538.4548813127  7579      133.6    981277    517156    507348    441411    130330       216
    6  1050   150 -1538.4587093954  8051      131.4    976885    498767    448295    522885    130690       216
    6  1100   150 -1538.4641014658  8569      358.6    944605    512055    449309    537857    133696       216

