ngrids cutoff rel       energy      memory     time    grid1     grid2     grid3     grid4     grid5     grid6
    6  1000    50 -1538.4548816991  7483       50.2    245759    735518    517156    507348    441411    130546
    6  1000    60 -1538.4548813295  7482       59.2    407929    604930    554890    553277    346651    110061
    6  1000    70 -1538.4548813089  7494       65.8    444245    627141    581614    494382    404223     26133
    6  1000    80 -1538.4548813134  7499       73.3    505492    641176    618961    404200    404842      3067
    6  1000    90 -1538.4548813127  7485       77.6    660862    513941    620006    441460    338402      3067
    6  1000   100 -1538.4548813127  7490       83.2    695588    568072    550810    432776    329556       936
    6  1000   110 -1538.4548813127  7514       92.6    762442    604159    484031    426801    299729       576
    6  1000   120 -1538.4548813127  7539      110.6    808045    615799    443802    532223    177293       576
    6  1000   130 -1538.4548813127  7489      122.1    923378    526962    438109    552487    136226       576
    6  1000   140 -1538.4548813127  7564      124.5    970763    495942    445452    534675    130690       216
    6  1000   150 -1538.4548813127  7585      133.8    981277    517156    507348    441411    130330       216
